FIPS,WSI
01001,0.360
01003,0.207
01005,0.360
01007,0.299
01009,0.269
01011,0.361
01013,0.338
01015,0.288
01017,0.329
01019,0.272
01021,0.319
01023,0.298
01025,0.320
01027,0.313
01029,0.304
01031,0.328
01033,0.278
01035,0.306
01037,0.303
01039,0.277
01041,0.346
01043,0.266
01045,0.329
01047,0.342
01049,0.267
01051,0.345
01053,0.281
01055,0.286
01057,0.274
01059,0.290
01061,0.318
01063,0.290
01065,0.287
01067,0.363
01069,0.329
01071,0.256
01073,0.276
01075,0.280
01077,0.263
01079,0.262
01081,0.364
01083,0.260
01085,0.351
01087,0.371
01089,0.252
01091,0.301
01093,0.274
01095,0.262
01097,0.222
01099,0.305
01101,0.360
01103,0.253
01105,0.308
01107,0.289
01109,0.343
01111,0.323
01113,0.393
01115,0.291
01117,0.298
01119,0.309
01121,0.295
01123,0.336
01125,0.270
01127,0.272
01129,0.300
01131,0.344
01133,0.269
04001,10.899
04003,100.000
04005,17.598
04007,2.870
04009,16.605
04011,5.308
04012,100.000
04013,100.000
04015,100.000
04017,9.786
04019,100.000
04021,100.000
04023,42.277
04025,7.240
04027,100.000
05001,100.000
05003,0.563
05005,0.427
05007,0.475
05009,0.444
05011,0.382
05013,0.414
05015,0.422
05017,5.136
05019,0.301
05021,100.000
05023,0.319
05025,0.379
05027,0.434
05029,0.579
05031,0.630
05033,0.390
05035,0.507
05037,1.074
05039,0.325
05041,6.743
05043,0.451
05045,0.399
05047,0.386
05049,0.404
05051,0.296
05053,0.364
05055,0.654
05057,0.384
05059,0.304
05061,0.288
05063,0.443
05065,0.445
05067,1.244
05069,0.682
05071,0.367
05073,0.524
05075,0.515
05077,0.544
05079,1.291
05081,0.425
05083,0.441
05085,2.536
05087,0.416
05089,0.466
05091,0.563
05093,0.345
05095,0.564
05097,0.283
05099,0.341
05101,0.370
05103,0.350
05105,0.397
05107,0.464
05109,0.304
05111,4.924
05113,0.280
05115,0.457
05117,0.947
05119,0.377
05121,0.437
05123,0.565
05125,0.371
05127,0.404
05129,0.357
05131,0.403
05133,0.286
05135,0.406
05137,0.379
05139,0.386
05141,0.335
05143,0.434
05145,0.367
05147,1.796
05149,0.447
06001,2.816
06003,0.689
06005,0.410
06007,100.000
06009,0.482
06011,100.000
06013,1.563
06015,0.100
06017,0.380
06019,2.374
06021,6.091
06023,0.167
06025,100.000
06027,2.224
06029,100.000
06031,100.000
06033,0.507
06035,0.942
06037,1.308
06039,100.000
06041,0.430
06043,0.552
06045,0.235
06047,100.000
06049,1.328
06051,0.977
06053,1.217
06055,0.589
06057,0.307
06059,100.000
06061,0.316
06063,0.787
06065,100.000
06067,6.970
06069,3.466
06071,2.103
06073,7.855
06077,100.000
06079,1.263
06081,0.944
06083,2.730
06085,2.223
06087,1.147
06089,0.573
06091,0.395
06093,0.475
06095,100.000
06097,0.315
06099,100.000
06101,100.000
06103,0.634
06105,0.280
06107,1.369
06109,0.695
06111,2.981
06113,2.557
06115,0.381
08001,15.159
08003,100.000
08005,100.000
08007,1.002
08009,100.000
08011,100.000
08013,2.591
08014,11.884
08015,2.183
08017,100.000
08019,1.155
08021,6.499
08023,5.583
08025,11.616
08027,2.768
08029,1.070
08031,100.000
08033,3.755
08035,4.007
08037,0.825
08039,16.006
08041,6.944
08043,2.577
08045,1.113
08047,1.247
08049,1.050
08051,0.941
08053,0.948
08055,23.561
08057,1.656
08059,2.275
08061,83.793
08063,100.000
08065,2.113
08067,1.185
08069,3.653
08071,31.781
08073,58.180
08075,100.000
08077,1.485
08079,0.777
08081,1.523
08083,4.956
08085,1.922
08087,100.000
08089,100.000
08091,1.675
08093,3.544
08095,100.000
08097,0.594
08099,100.000
08101,7.567
08103,1.354
08105,2.305
08107,0.852
08109,4.706
08111,0.799
08113,2.443
08115,100.000
08117,0.668
08119,3.708
08121,100.000
08123,96.520
08125,100.000
09001,0.263
09003,0.234
09005,0.235
09007,0.229
09009,0.222
09011,0.232
09013,0.235
09015,0.235
10001,0.374
10003,0.333
10005,0.440
11001,0.425
12001,0.728
12003,0.599
12005,0.377
12007,0.486
12009,0.485
12011,0.646
12013,0.311
12015,0.617
12017,0.802
12019,0.516
12021,0.608
12023,0.580
12027,0.795
12029,0.440
12031,0.543
12033,0.209
12035,0.520
12037,0.317
12039,0.426
12041,0.485
12043,0.628
12045,0.364
12047,0.684
12049,0.769
12051,0.723
12053,0.767
12055,0.747
12057,0.527
12059,0.286
12061,0.500
12063,0.308
12065,0.478
12067,0.462
12069,0.821
12071,0.604
12073,0.354
12075,0.481
12077,0.354
12079,0.601
12081,0.435
12083,0.999
12085,0.725
12086,0.626
12087,0.583
12089,0.570
12091,0.201
12093,0.664
12095,0.634
12097,0.606
12099,0.719
12101,0.793
12103,0.456
12105,0.851
12107,0.589
12109,0.526
12111,0.552
12113,0.228
12115,0.445
12117,0.474
12119,1.424
12121,0.533
12123,0.435
12125,0.488
12127,0.488
12129,0.351
12131,0.212
12133,0.298
13001,0.642
13003,0.610
13005,0.626
13007,0.446
13009,0.553
13011,0.413
13013,0.504
13015,0.309
13017,0.519
13019,0.565
13021,0.413
13023,0.506
13025,0.617
13027,0.582
13029,0.612
13031,0.625
13033,0.560
13035,0.408
13037,0.443
13039,0.620
13043,0.591
13045,0.324
13047,0.275
13049,0.624
13051,0.620
13053,0.389
13055,0.273
13057,0.305
13059,0.512
13061,0.452
13063,0.409
13065,0.703
13067,0.303
13069,0.613
13071,0.544
13073,0.397
13075,0.569
13077,0.365
13079,0.408
13081,0.515
13083,0.272
13085,0.301
13087,0.432
13089,0.353
13091,0.499
13093,0.475
13095,0.447
13097,0.327
13099,0.411
13101,0.643
13103,0.586
13105,0.431
13107,0.567
13109,0.603
13111,0.231
13113,0.407
13115,0.289
13117,0.304
13119,0.380
13121,0.317
13123,0.271
13125,0.603
13127,0.626
13129,0.279
13131,0.452
13133,0.509
13135,0.371
13137,0.258
13139,0.325
13141,0.526
13143,0.318
13145,0.326
13147,0.349
13149,0.328
13151,0.412
13153,0.496
13155,0.620
13157,0.497
13159,0.465
13161,0.571
13163,0.621
13165,0.630
13167,0.536
13169,0.453
13171,0.404
13173,0.587
13175,0.519
13177,0.487
13179,0.610
13181,0.472
13183,0.578
13185,0.563
13187,0.269
13189,0.526
13191,0.597
13193,0.449
13195,0.418
13197,0.440
13199,0.376
13201,0.464
13205,0.499
13207,0.419
13209,0.540
13211,0.500
13213,0.266
13215,0.386
13217,0.414
13219,0.507
13221,0.436
13223,0.310
13225,0.486
13227,0.294
13229,0.618
13231,0.404
13233,0.282
13235,0.504
13237,0.501
13239,0.387
13241,0.210
13243,0.419
13245,0.389
13247,0.409
13249,0.456
13251,0.564
13253,0.475
13255,0.404
13257,0.267
13259,0.393
13261,0.472
13263,0.393
13265,0.544
13267,0.571
13269,0.402
13271,0.490
13273,0.449
13275,0.494
13277,0.584
13279,0.564
13281,0.232
13283,0.536
13285,0.332
13287,0.579
13289,0.485
13291,0.228
13293,0.402
13295,0.273
13297,0.450
13299,0.668
13301,0.577
13303,0.560
13305,0.591
13307,0.467
13309,0.518
13311,0.255
13313,0.270
13315,0.528
13317,0.468
13319,0.519
13321,0.528
16001,1.974
16003,0.581
16005,3.569
16007,3.835
16009,0.333
16011,100.000
16013,1.747
16015,0.380
16017,0.356
16019,1.072
16021,0.253
16023,2.243
16025,1.108
16027,100.000
16029,2.509
16031,100.000
16033,2.030
16035,0.232
16037,0.823
16039,0.761
16041,15.381
16043,0.388
16045,0.631
16047,100.000
16049,0.358
16051,100.000
16053,100.000
16055,0.322
16057,0.571
16059,0.888
16061,0.399
16063,3.255
16065,1.027
16067,100.000
16069,0.495
16071,100.000
16073,3.210
16075,1.607
16077,100.000
16079,0.246
16081,1.034
16083,100.000
16085,0.381
16087,0.796
17001,0.555
17003,0.531
17005,0.550
17007,0.547
17009,0.571
17011,0.494
17013,0.551
17015,0.562
17017,0.578
17019,0.498
17021,0.601
17023,0.447
17025,0.449
17027,0.538
17029,0.481
17031,0.316
17033,0.458
17035,0.468
17037,0.540
17039,0.545
17041,0.485
17043,0.395
17045,0.434
17047,0.420
17049,0.460
17051,0.511
17053,0.511
17055,0.460
17057,0.694
17059,0.368
17061,0.574
17063,0.459
17065,0.403
17067,0.571
17069,0.331
17071,0.561
17073,0.583
17075,0.467
